2026-07-14T23:40:11.574Z	New Features Plans/Self-Leaning-Final-Steps.md	seed
2026-07-14T23:40:11.580Z	New Features Plans/board-inbox-auto-cards.md	seed
2026-07-14T23:40:11.581Z	Bugs and Malfunctions/bugfix-lid-history-blindness.md	seed
2026-07-14T23:40:11.581Z	Bugs and Malfunctions/bugfix-task-false-positive.md	seed
2026-07-14T23:40:11.581Z	Bugs and Malfunctions/_reports/2026-07-12T12-19-23-reported-calendar-action.md	seed
2026-07-14T23:40:11.581Z	Bugs and Malfunctions/_reports/2026-07-13T09-43-54-reported-calendar-action.md	seed
2026-07-15T00:03:45.638Z	New Features Plans/feature-calendar-conflict-check.md	enqueued
2026-07-15T00:03:45.640Z	New Features Plans/feature-calendar-recurring-events.md	enqueued
2026-07-15T00:03:45.641Z	New Features Plans/feature-reminders-followups.md	enqueued
2026-07-15T00:42:27.000Z	Bugs and Malfunctions/_reports/2026-07-14T12-34-28-reported-calendar-action.md	handled
2026-07-15T00:42:27.000Z	Bugs and Malfunctions/_reports/2026-07-14T13-21-03-unrouted-router.md	handled
2026-07-15T00:42:27.000Z	Bugs and Malfunctions/_reports/2026-07-13T20-07-12-reported-calendar-action.md	handled
2026-07-29T08:42:05.678Z	New Features Plans/feature-fill-out-web-forms-2026-07-29T05-25-12.md	enqueued
2026-07-29T08:42:05.680Z	New Features Plans/feature-google-contacts-crud-integration-2026-07-28T18-48-26.md	enqueued
2026-07-29T08:42:05.680Z	New Features Plans/feature-suporte-a-local-endereco-ou-virtual-nos-eventos-de-calendari-2026-07-16T08-23-44.md	enqueued
